Mod:Item:MetaData, Localized Name
minecraft:snow, 雪
minecraft:cactus, 仙人掌
minecraft:clay, 黏土
minecraft:jukebox, 唱片機
minecraft:fence, 橡木柵欄
minecraft:pumpkin, 南瓜
minecraft:netherrack, 地獄石
minecraft:soul_sand, 靈魂砂
minecraft:glowstone, 螢光石
minecraft:lit_pumpkin, 南瓜燈
minecraft:stained_glass:0, 白色玻璃
minecraft:stained_glass:1, 橙色玻璃
minecraft:stained_glass:2, 洋紅色玻璃
minecraft:stained_glass:3, 淺藍色玻璃
minecraft:stained_glass:4, 黃色玻璃
minecraft:stained_glass:5, 淺綠色玻璃
minecraft:stained_glass:6, 粉紅色玻璃
minecraft:stained_glass:7, 灰色玻璃
minecraft:stained_glass:8, 淺灰色玻璃
minecraft:stained_glass:9, 青色玻璃
minecraft:stained_glass:10, 紫色玻璃
minecraft:stained_glass:11, 藍色玻璃
minecraft:stained_glass:12, 棕色玻璃
minecraft:stained_glass:13, 綠色玻璃
minecraft:stained_glass:14, 紅色玻璃
minecraft:stained_glass:15, 黑色玻璃
minecraft:trapdoor, 木製地板門
minecraft:monster_egg:0, 石頭怪物蛋
minecraft:monster_egg:1, 鵝卵石怪物蛋
minecraft:monster_egg:2, 石磚怪物蛋
minecraft:monster_egg:3, 青苔石磚怪物蛋
minecraft:monster_egg:4, 裂石磚怪物蛋
minecraft:monster_egg:5, 浮雕石磚怪物蛋
minecraft:stonebrick:0, 石磚
minecraft:stonebrick:1, 青苔石磚
minecraft:stonebrick:2, 裂石磚
minecraft:stonebrick:3, 浮雕石磚
minecraft:brown_mushroom_block, 蘑菇
minecraft:red_mushroom_block, 蘑菇
minecraft:iron_bars, 鐵柵欄
minecraft:glass_pane, 玻璃片
minecraft:melon_block, 西瓜
minecraft:vine, 藤蔓
minecraft:fence_gate, 橡木柵欄門
minecraft:brick_stairs, 紅磚階梯
minecraft:stone_brick_stairs, 石磚階梯
minecraft:mycelium, 菌絲土
minecraft:waterlily, 荷葉
minecraft:nether_brick, 地獄磚
minecraft:nether_brick_fence, 地獄磚柵欄
minecraft:nether_brick_stairs, 地獄磚階梯
minecraft:enchanting_table, 附魔台
minecraft:end_portal_frame, 終界傳送門
minecraft:end_stone, 終界石
minecraft:dragon_egg, 龍蛋
minecraft:redstone_lamp, 紅石燈
minecraft:wooden_slab:0, 橡木半磚
minecraft:wooden_slab:1, 杉木半磚
minecraft:wooden_slab:2, 樺木半磚
minecraft:wooden_slab:3, 叢林木半磚
minecraft:wooden_slab:4, 相思木半磚
minecraft:wooden_slab:5, 黑橡木半磚
minecraft:sandstone_stairs, 砂岩階梯
minecraft:emerald_ore, 綠寶石礦
minecraft:ender_chest, 終界箱
minecraft:tripwire_hook, 絆線鉤
minecraft:emerald_block, 綠寶石磚
minecraft:spruce_stairs, 杉木階梯
minecraft:birch_stairs, 樺木階梯
minecraft:jungle_stairs, 叢林木階梯
minecraft:command_block, 指令方塊
minecraft:beacon, 烽火台
minecraft:cobblestone_wall:0, 鵝卵石牆
minecraft:cobblestone_wall:1, 青苔鵝卵石牆
minecraft:wooden_button, 按鈕
minecraft:anvil:0, 鐵砧
minecraft:anvil:1, 輕微損耗的鐵砧
minecraft:anvil:2, 嚴重損耗的鐵砧
minecraft:trapped_chest, 陷阱儲物箱
minecraft:light_weighted_pressure_plate, 測重壓力板（輕）
minecraft:heavy_weighted_pressure_plate, 測重壓力板（重）
minecraft:daylight_detector, 日光感測器
minecraft:redstone_block, 紅石磚
minecraft:quartz_ore, 地獄石英礦
minecraft:hopper, 漏斗
minecraft:quartz_block:0, 石英磚
minecraft:quartz_block:1, 浮雕石英磚
minecraft:quartz_block:2, 柱狀石英磚
minecraft:quartz_stairs, 石英階梯
minecraft:activator_rail, 啟用鐵軌
minecraft:dropper, 投擲器
minecraft:stained_hardened_clay:0, 白色陶土
minecraft:stained_hardened_clay:1, 橙色陶土
minecraft:stained_hardened_clay:2, 洋紅色陶土
minecraft:stained_hardened_clay:3, 淺藍色陶土
minecraft:stained_hardened_clay:4, 黃色陶土
minecraft:stained_hardened_clay:5, 淺綠色陶土
minecraft:stained_hardened_clay:6, 粉紅色陶土
minecraft:stained_hardened_clay:7, 灰色陶土
minecraft:stained_hardened_clay:8, 淺灰色陶土
minecraft:stained_hardened_clay:9, 青色陶土
minecraft:stained_hardened_clay:10, 紫色陶土
minecraft:stained_hardened_clay:11, 藍色陶土
minecraft:stained_hardened_clay:12, 棕色陶土
minecraft:stained_hardened_clay:13, 綠色陶土
minecraft:stained_hardened_clay:14, 紅色陶土
minecraft:stained_hardened_clay:15, 黑色陶土
minecraft:stained_glass_pane:0, 白色玻璃片
minecraft:stained_glass_pane:1, 橙色玻璃片
minecraft:stained_glass_pane:2, 洋紅色玻璃片
minecraft:stained_glass_pane:3, 淺藍色玻璃片
minecraft:stained_glass_pane:4, 黃色玻璃片
minecraft:stained_glass_pane:5, 淺綠色玻璃片
minecraft:stained_glass_pane:6, 粉紅色玻璃片
minecraft:stained_glass_pane:7, 灰色玻璃片
minecraft:stained_glass_pane:8, 淺灰色玻璃片
minecraft:stained_glass_pane:9, 青色玻璃片
minecraft:stained_glass_pane:10, 紫色玻璃片
minecraft:stained_glass_pane:11, 藍色玻璃片
minecraft:stained_glass_pane:12, 棕色玻璃片
minecraft:stained_glass_pane:13, 綠色玻璃片
minecraft:stained_glass_pane:14, 紅色玻璃片
minecraft:stained_glass_pane:15, 黑色玻璃片
minecraft:leaves2:0, 相思木樹葉
minecraft:leaves2:1, 黑橡木樹葉
minecraft:log2:0, 相思木原木
minecraft:log2:1, 黑橡木原木
minecraft:acacia_stairs, 相思木階梯
minecraft:dark_oak_stairs, 黑橡木階梯
minecraft:slime, 史萊姆方塊
minecraft:barrier, 屏障
minecraft:iron_trapdoor, 鐵製地板門
minecraft:prismarine:0, 海磷石
minecraft:prismarine:1, 海磷石磚
minecraft:prismarine:2, 暗海磷石
minecraft:sea_lantern, 海燈籠
minecraft:hay_block, 乾草捆
minecraft:carpet:0, 白色地毯
minecraft:carpet:1, 橙色地毯
minecraft:carpet:2, 洋紅色地毯
minecraft:carpet:3, 淺藍色地毯
minecraft:carpet:4, 黃色地毯
minecraft:carpet:5, 淺綠色地毯
minecraft:carpet:6, 粉紅色地毯
minecraft:carpet:7, 灰色地毯
minecraft:carpet:8, 淺灰色地毯
minecraft:carpet:9, 青色地毯
minecraft:carpet:10, 紫色地毯
minecraft:carpet:11, 藍色地毯
minecraft:carpet:12, 棕色地毯
minecraft:carpet:13, 綠色地毯
minecraft:carpet:14, 紅色地毯
minecraft:carpet:15, 黑色地毯
minecraft:hardened_clay, 陶土
minecraft:coal_block, 煤炭磚
minecraft:packed_ice, 冰磚
minecraft:double_plant:0, 向日葵
minecraft:double_plant:1, 紫丁香
minecraft:double_plant:2, 芒草
minecraft:double_plant:3, 大型蕨類
minecraft:double_plant:4, 玫瑰叢
minecraft:double_plant:5, 牡丹花
minecraft:red_sandstone:0, 紅砂岩
minecraft:red_sandstone:1, 浮雕紅砂岩
minecraft:red_sandstone:2, 切製紅砂岩
minecraft:red_sandstone_stairs, 紅砂岩階梯
minecraft:stone_slab2:0, 紅砂岩半磚
minecraft:spruce_fence_gate, 杉木柵欄門
minecraft:birch_fence_gate, 樺木柵欄門
minecraft:jungle_fence_gate, 叢林木柵欄門
minecraft:dark_oak_fence_gate, 黑橡木柵欄門
minecraft:acacia_fence_gate, 相思木柵欄門
minecraft:spruce_fence, 杉木柵欄
minecraft:birch_fence, 樺木柵欄
minecraft:jungle_fence, 叢林木柵欄
minecraft:dark_oak_fence, 黑橡木柵欄
minecraft:acacia_fence, 相思木柵欄
minecraft:end_rod, 終界燭
minecraft:chorus_plant, 歌萊枝
minecraft:chorus_flower, 歌萊花
minecraft:purpur_block, 紫珀磚
minecraft:purpur_pillar, 柱狀紫珀磚
minecraft:purpur_stairs, 紫珀磚階梯
minecraft:purpur_slab:0, 紫珀磚半磚
minecraft:end_bricks, 終界石磚
minecraft:grass_path, 草徑
minecraft:repeating_command_block, 重複型指令方塊
minecraft:chain_command_block, 連鎖式指令方塊
minecraft:magma, 岩漿塊
minecraft:nether_wart_block, 地獄疙瘩塊
minecraft:red_nether_brick, 紅地獄磚
minecraft:bone_block, 骨塊
minecraft:structure_void, 結構空位
minecraft:observer, 偵測器
minecraft:white_shulker_box, 白色界伏盒
minecraft:orange_shulker_box, 橙色界伏盒
minecraft:magenta_shulker_box, 洋紅色界伏盒
minecraft:light_blue_shulker_box, 淺藍色界伏盒
minecraft:yellow_shulker_box, 黃色界伏盒
minecraft:lime_shulker_box, 淺綠色界伏盒
minecraft:pink_shulker_box, 粉紅色界伏盒
minecraft:gray_shulker_box, 灰色界伏盒
minecraft:silver_shulker_box, 淺灰色界伏盒
minecraft:cyan_shulker_box, 青色界伏盒
minecraft:purple_shulker_box, 紫色界伏盒
minecraft:blue_shulker_box, 藍色界伏盒
minecraft:brown_shulker_box, 棕色界伏盒
minecraft:green_shulker_box, 綠色界伏盒
minecraft:red_shulker_box, 紅色界伏盒
minecraft:black_shulker_box, 黑色界伏盒
minecraft:white_glazed_terracotta, 白色釉陶
minecraft:orange_glazed_terracotta, 橙色釉陶
minecraft:magenta_glazed_terracotta, 洋紅色釉陶
minecraft:light_blue_glazed_terracotta, 淺藍色釉陶
minecraft:yellow_glazed_terracotta, 黃色釉陶
minecraft:lime_glazed_terracotta, 淺綠色釉陶
minecraft:pink_glazed_terracotta, 粉紅色釉陶
minecraft:gray_glazed_terracotta, 灰色釉陶
minecraft:silver_glazed_terracotta, 淺灰色釉陶
minecraft:cyan_glazed_terracotta, 青色釉陶
minecraft:purple_glazed_terracotta, 紫色釉陶
minecraft:blue_glazed_terracotta, 藍色釉陶
minecraft:brown_glazed_terracotta, 棕色釉陶
minecraft:green_glazed_terracotta, 綠色釉陶
minecraft:red_glazed_terracotta, 紅色釉陶
minecraft:black_glazed_terracotta, 黑色釉陶
minecraft:concrete:0, 白色混凝土
minecraft:concrete:1, 橙色混凝土
minecraft:concrete:2, 洋紅色混凝土
minecraft:concrete:3, 淺藍色混凝土
minecraft:concrete:4, 黃色混凝土
minecraft:concrete:5, 淺綠色混凝土
minecraft:concrete:6, 粉紅色混凝土
minecraft:concrete:7, 灰色混凝土
minecraft:concrete:8, 淺灰色混凝土
minecraft:concrete:9, 青色混凝土
minecraft:concrete:10, 紫色混凝土
minecraft:concrete:11, 藍色混凝土
minecraft:concrete:12, 棕色混凝土
minecraft:concrete:13, 綠色混凝土
minecraft:concrete:14, 紅色混凝土
minecraft:concrete:15, 黑色混凝土
minecraft:concrete_powder:0, 白色混凝土粉末
minecraft:concrete_powder:1, 橙色混凝土粉末
minecraft:concrete_powder:2, 洋紅色混凝土粉末
minecraft:concrete_powder:3, 淺藍色混凝土粉末
minecraft:concrete_powder:4, 黃色混凝土粉末
minecraft:concrete_powder:5, 淺綠色混凝土粉末
minecraft:concrete_powder:6, 粉紅色混凝土粉末
minecraft:concrete_powder:7, 灰色混凝土粉末
minecraft:concrete_powder:8, 淺灰色混凝土粉末
minecraft:concrete_powder:9, 青色混凝土粉末
minecraft:concrete_powder:10, 紫色混凝土粉末
minecraft:concrete_powder:11, 藍色混凝土粉末
minecraft:concrete_powder:12, 棕色混凝土粉末
minecraft:concrete_powder:13, 綠色混凝土粉末
minecraft:concrete_powder:14, 紅色混凝土粉末
minecraft:concrete_powder:15, 黑色混凝土粉末
minecraft:structure_block, 結構方塊
minecraft:iron_shovel, 鐵鏟
minecraft:iron_pickaxe, 鐵鎬
minecraft:iron_axe, 鐵斧
minecraft:flint_and_steel, 打火石
minecraft:apple, 蘋果
minecraft:bow, 弓
minecraft:arrow, 箭矢
minecraft:coal:0, 煤炭
minecraft:coal:1, 木炭
minecraft:diamond, 鑽石
minecraft:iron_ingot, 鐵錠
minecraft:gold_ingot, 金錠
minecraft:iron_sword, 鐵劍
minecraft:wooden_sword, 木劍
minecraft:wooden_shovel, 木鏟
minecraft:wooden_pickaxe, 木鎬
minecraft:wooden_axe, 木斧
minecraft:stone_sword, 石劍
minecraft:stone_shovel, 石鏟
minecraft:stone_pickaxe, 石鎬
minecraft:stone_axe, 石斧
minecraft:diamond_sword, 鑽石劍
minecraft:diamond_shovel, 鑽石鏟
minecraft:diamond_pickaxe, 鑽石鎬
minecraft:diamond_axe, 鑽石斧
minecraft:stick, 木棒
minecraft:bowl, 碗
minecraft:mushroom_stew, 蘑菇湯
minecraft:golden_sword, 金劍
minecraft:golden_shovel, 金鏟
minecraft:golden_pickaxe, 金鎬
minecraft:golden_axe, 金斧
minecraft:string, 線
minecraft:feather, 羽毛
minecraft:gunpowder, 火藥
minecraft:wooden_hoe, 木鋤
minecraft:stone_hoe, 石鋤
minecraft:iron_hoe, 鐵鋤
minecraft:diamond_hoe, 鑽石鋤
minecraft:golden_hoe, 金鋤
minecraft:wheat_seeds, 種子
minecraft:wheat, 小麥
minecraft:bread, 麵包
minecraft:leather_helmet, 皮革帽子
minecraft:leather_chestplate, 皮革上衣
minecraft:leather_leggings, 皮革褲子
minecraft:leather_boots, 皮革靴子
minecraft:chainmail_helmet, 鎖鏈頭盔
minecraft:chainmail_chestplate, 鎖鏈胸甲
minecraft:chainmail_leggings, 鎖鏈護腿
minecraft:chainmail_boots, 鎖鏈靴子
minecraft:iron_helmet, 鐵製頭盔
minecraft:iron_chestplate, 鐵製胸甲
minecraft:iron_leggings, 鐵製護腿
minecraft:iron_boots, 鐵製靴子
minecraft:diamond_helmet, 鑽石頭盔
minecraft:diamond_chestplate, 鑽石胸甲
minecraft:diamond_leggings, 鑽石護腿
minecraft:diamond_boots, 鑽石靴子
minecraft:golden_helmet, 黃金頭盔
minecraft:golden_chestplate, 黃金胸甲
minecraft:golden_leggings, 黃金護腿
minecraft:golden_boots, 黃金靴子
minecraft:flint, 燧石
minecraft:porkchop, 生豬肉
minecraft:cooked_porkchop, 烤豬肉
minecraft:painting, 繪畫
minecraft:golden_apple:0, 金蘋果
minecraft:golden_apple:1, 金蘋果
minecraft:sign, 告示牌
minecraft:wooden_door, 橡木門
minecraft:bucket, 鐵桶
minecraft:water_bucket, 水桶
minecraft:lava_bucket, 熔岩桶
minecraft:minecart, 礦車
minecraft:saddle, 鞍
minecraft:iron_door, 鐵門
minecraft:redstone, 紅石
minecraft:snowball, 雪球
minecraft:boat, 橡木船
minecraft:leather, 皮革
minecraft:milk_bucket, 牛奶
minecraft:brick, 紅磚頭
minecraft:clay_ball, 黏土
minecraft:reeds, 甘蔗
minecraft:paper, 紙
minecraft:book, 書
minecraft:slime_ball, 史萊姆球
minecraft:chest_minecart, 箱子車
minecraft:furnace_minecart, 熔爐車
minecraft:egg, 雞蛋
minecraft:compass, 指南針
minecraft:fishing_rod, 木魚竿
minecraft:clock, 時鐘
minecraft:glowstone_dust, 螢石粉
minecraft:fish:0, 生魚
minecraft:fish:1, 生鮭魚
minecraft:fish:2, 小丑魚
minecraft:fish:3, 河豚
minecraft:cooked_fish:0, 烤魚
minecraft:cooked_fish:1, 烤鮭魚
minecraft:dye:0, 墨囊
minecraft:dye:1, 紅色染料
minecraft:dye:2, 綠色染料
minecraft:dye:3, 可可豆
minecraft:dye:4, 青金石
minecraft:dye:5, 紫色染料
minecraft:dye:6, 青色染料
minecraft:dye:7, 淺灰色染料
minecraft:dye:8, 灰色染料
minecraft:dye:9, 粉紅色染料
minecraft:dye:10, 淺綠色染料
minecraft:dye:11, 黃色染料
minecraft:dye:12, 淺藍色染料
minecraft:dye:13, 洋紅色染料
minecraft:dye:14, 橙色染料
minecraft:dye:15, 骨粉
minecraft:bone, 骨頭
minecraft:sugar, 糖
minecraft:cake, 蛋糕
minecraft:bed:0, 白色床
minecraft:bed:1, 橙色床
minecraft:bed:2, 洋紅色床
minecraft:bed:3, 淺藍色床
minecraft:bed:4, 黃色床
minecraft:bed:5, 淺綠色床
minecraft:bed:6, 粉紅色床
minecraft:bed:7, 灰色床
minecraft:bed:8, 淺灰色床
minecraft:bed:9, 青色床
minecraft:bed:10, 紫色床
minecraft:bed:11, 藍色床
minecraft:bed:12, 棕色床
minecraft:bed:13, 綠色床
minecraft:bed:14, 紅色床
minecraft:bed:15, 黑色床
minecraft:repeater, 紅石中繼器
minecraft:cookie, 餅乾
minecraft:filled_map:0, 地圖
minecraft:shears, 剪刀
minecraft:melon, 西瓜
minecraft:pumpkin_seeds, 南瓜種子
minecraft:melon_seeds, 西瓜種子
minecraft:beef, 生牛肉
minecraft:cooked_beef, 牛排
minecraft:chicken, 生雞肉
minecraft:cooked_chicken, 烤雞
minecraft:rotten_flesh, 腐肉
minecraft:ender_pearl, 終界珍珠
minecraft:blaze_rod, 烈焰桿
minecraft:ghast_tear, 幽靈之淚
minecraft:gold_nugget, 金粒
minecraft:nether_wart, 地獄疙瘩
minecraft:potion, 傷藥
minecraft:glass_bottle, 玻璃瓶
minecraft:spider_eye, 蜘蛛眼
minecraft:fermented_spider_eye, 發酵蜘蛛眼
minecraft:blaze_powder, 烈焰粉
minecraft:magma_cream, 岩漿球
minecraft:brewing_stand, 釀造台
minecraft:cauldron, 鍋釜
minecraft:ender_eye, 終界之眼
minecraft:speckled_melon, 鑲金西瓜
minecraft:spawn_egg, 生成
minecraft:experience_bottle, 經驗瓶
minecraft:fire_charge, 火焰彈
minecraft:writable_book, 書和羽毛筆
minecraft:written_book, 完成的書
minecraft:emerald, 綠寶石
minecraft:item_frame, 物品展示框
minecraft:flower_pot, 花盆
minecraft:carrot, 胡蘿蔔
minecraft:potato, 馬鈴薯
minecraft:baked_potato, 烤馬鈴薯
minecraft:poisonous_potato, 毒馬鈴薯
minecraft:map, 空白地圖
minecraft:golden_carrot, 金胡蘿蔔
minecraft:skull:0, 骷髏頭顱
minecraft:skull:1, 凋零骷髏頭顱
minecraft:skull:2, 殭屍頭顱
minecraft:skull:3, 頭顱
minecraft:skull:4, 苦力怕頭顱
minecraft:skull:5, 龍首
minecraft:carrot_on_a_stick, 胡蘿蔔釣竿
minecraft:nether_star, 地獄之星
minecraft:pumpkin_pie, 南瓜派
minecraft:fireworks, 煙火
minecraft:firework_charge, 火藥球
minecraft:enchanted_book, 附魔書
minecraft:comparator, 紅石比較器
minecraft:netherbrick, 地獄磚
minecraft:quartz, 地獄石英
minecraft:tnt_minecart, TNT車
minecraft:hopper_minecart, 漏斗車
minecraft:prismarine_shard, 海磷碎片
minecraft:prismarine_crystals, 海磷晶體
minecraft:rabbit, 生兔肉
minecraft:cooked_rabbit, 烤兔肉
minecraft:rabbit_stew, 兔肉湯
minecraft:rabbit_foot, 兔子腳
minecraft:rabbit_hide, 兔子皮
minecraft:armor_stand, 盔甲座
minecraft:iron_horse_armor, 鐵寵物盔甲
minecraft:golden_horse_armor, 金寵物盔甲
minecraft:diamond_horse_armor, 鑽石寵物盔甲
minecraft:lead, 拴繩
minecraft:name_tag, 命名牌
minecraft:command_block_minecart, 指令方塊礦車
minecraft:mutton, 生羊肉
minecraft:cooked_mutton, 烤羊肉
minecraft:banner:15, 白色旗幟
minecraft:banner:14, 橙色旗幟
minecraft:banner:13, 洋紅色旗幟
minecraft:banner:12, 淺藍色旗幟
minecraft:banner:11, 黃色旗幟
minecraft:banner:10, 淺綠色旗幟
minecraft:banner:9, 粉紅色旗幟
minecraft:banner:8, 灰色旗幟
minecraft:banner:7, 淺灰色旗幟
minecraft:banner:6, 青色旗幟
minecraft:banner:5, 紫色旗幟
minecraft:banner:4, 藍色旗幟
minecraft:banner:3, 棕色旗幟
minecraft:banner:2, 綠色旗幟
minecraft:banner:1, 紅色旗幟
minecraft:banner:0, 黑色旗幟
minecraft:end_crystal, 終界水晶
minecraft:spruce_door, 杉木門
minecraft:birch_door, 樺木門
minecraft:jungle_door, 叢林木門
minecraft:acacia_door, 相思木門
minecraft:dark_oak_door, 黑橡木門
minecraft:chorus_fruit, 歌萊果
minecraft:chorus_fruit_popped, 爆開的歌萊果
minecraft:beetroot, 甜菜根
minecraft:beetroot_seeds, 甜菜種子
minecraft:beetroot_soup, 甜菜湯
minecraft:dragon_breath, 龍之吐息
minecraft:splash_potion, 飛濺藥水
minecraft:spectral_arrow, 追跡之箭
minecraft:tipped_arrow, 藥水箭
minecraft:lingering_potion, 滯留藥水
minecraft:shield, 盾牌
minecraft:elytra, 鞘翅
minecraft:spruce_boat, 杉木船
minecraft:birch_boat, 樺木船
minecraft:jungle_boat, 叢林木船
minecraft:acacia_boat, 相思木船
minecraft:dark_oak_boat, 黑橡木船
minecraft:totem_of_undying, 不死圖騰
minecraft:shulker_shell, 界伏殼
minecraft:iron_nugget, 鐵粒
minecraft:knowledge_book, 知識之書
minecraft:record_13, 唱片
minecraft:record_cat, 唱片
minecraft:record_blocks, 唱片
minecraft:record_chirp, 唱片
minecraft:record_far, 唱片
minecraft:record_mall, 唱片
minecraft:record_mellohi, 唱片
minecraft:record_stal, 唱片
minecraft:record_strad, 唱片
minecraft:record_ward, 唱片
minecraft:record_11, 唱片
minecraft:record_wait, 唱片
avaritia:resource:0, 鑽石晶格
avaritia:resource:1, 水晶矩陣錠
avaritia:resource:2, 中子素塵埃
avaritia:resource:3, 中子素顆粒
avaritia:resource:4, 中子錠
avaritia:resource:5, 無盡催化劑
avaritia:resource:6, 無盡之錠
avaritia:resource:7, 唱片碎片
avaritia:singularity:0, 奇點-鐵
avaritia:singularity:1, 奇點-金
avaritia:singularity:2, 奇點-青金石
avaritia:singularity:3, 奇點-紅石
avaritia:singularity:4, 奇點-地獄石英
avaritia:singularity:5, 奇點-銅
avaritia:singularity:6, 奇點-錫
avaritia:singularity:7, 奇點-鉛
avaritia:singularity:8, 奇點-銀
avaritia:singularity:9, 奇點-鎳
avaritia:singularity:10, 奇點-鑽石
avaritia:singularity:11, 奇點-綠寶石
avaritia:singularity:12, 奇點-充能琥珀金
avaritia:singularity:13, 奇點-鉑
avaritia:singularity:14, 奇點-銥
avaritia:infinity_sword, 寰宇支配之劍
avaritia:infinity_bow, 天堂隕落長弓
avaritia:infinity_pickaxe, 世界崩解之鎬
avaritia:infinity_shovel, 星球吞噬之鏟
avaritia:infinity_axe, 自然荒蕪之斧
avaritia:infinity_hoe, 地蘊復生之鋤
avaritia:infinity_helmet, 無盡頭盔
avaritia:infinity_chestplate, 無盡胸甲
avaritia:infinity_pants, 無盡護腿
avaritia:infinity_boots, 無盡靴子
avaritia:skullfire_sword, 熾焰之啄顱劍
avaritia:endest_pearl, 終望珍珠
avaritia:ultimate_stew, 超級煲
avaritia:cosmic_meatballs, 寰宇肉丸
avaritia:matter_cluster, 物質團
avaritia:compressed_crafting_table, 壓縮工作檯
avaritia:double_compressed_crafting_table, 二重壓縮工作檯
avaritia:extreme_crafting_table, 終極工作檯
avaritia:block_resource:0, 中子態素塊
avaritia:block_resource:1, 無盡之塊
avaritia:block_resource:2, 水晶矩陣
avaritia:neutron_collector, 中子態素收集器
avaritia:neutronium_compressor, 中子態素壓縮機
thermalfoundation:ore:0, 銅礦
thermalfoundation:ore:1, 錫礦
thermalfoundation:ore:2, 銀礦
thermalfoundation:ore:3, 鉛礦
thermalfoundation:ore:4, 鋁礦
thermalfoundation:ore:5, 鎳礦
thermalfoundation:ore:6, 鉑礦
thermalfoundation:ore:7, 銥礦
thermalfoundation:ore:8, 蘊魔秘銀礦
thermalfoundation:ore_fluid:0, 油砂
